"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0.0714285714285714,0.222222222222222,0.0909090909090909,0.181818181818182,0.363636363636364,0.153846153846154,0.25,0.0714285714285714,0,0.166666666666667,0.166666666666667,0,0.0769230769230769,0.3,0.333333333333333,0.230769230769231,0.1
0.1,0.3,0,0,0.111111111111111,0.133333333333333,0.0909090909090909,0.4,0.230769230769231,0.3,0.166666666666667,0.0909090909090909,0.272727272727273,0.166666666666667,0,0.181818181818182,0.0909090909090909
0.1,0.230769230769231,0.307692307692308,0.153846153846154,0.1,0.153846153846154,0,0.1,0,0.2,0.0909090909090909,0.1,0.333333333333333,0,0.230769230769231,0.384615384615385,0.0909090909090909
0,0.2,0.1,0.0909090909090909,0.454545454545455,0.133333333333333,0,0.0909090909090909,0,0.4,0.1,0.0833333333333333,0.2,0.153846153846154,0.0909090909090909,0.333333333333333,0.25
0.272727272727273,0.0714285714285714,0.25,0.0769230769230769,0.166666666666667,0,0.0833333333333333,0.25,0.181818181818182,0.0833333333333333,0.363636363636364,0,0.2,0.181818181818182,0.333333333333333,0.0909090909090909,0.2
0.0833333333333333,0.166666666666667,0.285714285714286,0.25,0.214285714285714,0.1,0.4,0,0.2,0.181818181818182,0.333333333333333,0.2,0.133333333333333,0.0909090909090909,0.285714285714286,0,0.0909090909090909
0.2,0.285714285714286,0.111111111111111,0.142857142857143,0.2,0,0,0.222222222222222,0.0714285714285714,0.0909090909090909,0.0666666666666667,0.4,0.2,0.0909090909090909,0.333333333333333,0,0.166666666666667
0.214285714285714,0.125,0.0714285714285714,0.25,0.25,0.181818181818182,0.153846153846154,0,0.3,0.181818181818182,0.363636363636364,0,0.3,0.375,0.0909090909090909,0,0
0.166666666666667,0,0.0714285714285714,0.133333333333333,0.214285714285714,0.166666666666667,0.0769230769230769,0.454545454545455,0.166666666666667,0,0.363636363636364,0.2,0,0,0.333333333333333,0,0.222222222222222
0.0909090909090909,0.0769230769230769,0.333333333333333,0.2,0.0833333333333333,0.1,0.285714285714286,0.153846153846154,0.133333333333333,0,0.0909090909090909,0.0666666666666667,0.333333333333333,0.0909090909090909,0.0833333333333333,0.230769230769231,0.181818181818182
0.0833333333333333,0,0,0,0.363636363636364,0.166666666666667,0.0769230769230769,0.0833333333333333,0.222222222222222,0.0909090909090909,0,0.1,0.0714285714285714,0,0.0909090909090909,0.0909090909090909,0.272727272727273
0,0,0,0,0.166666666666667,0,0.166666666666667,0.176470588235294,0.2,0.181818181818182,0.0833333333333333,0.1,0.214285714285714,0.153846153846154,0.333333333333333,0,0.384615384615385
0,0.0909090909090909,0.133333333333333,0.333333333333333,0,0.0909090909090909,0.222222222222222,0.0833333333333333,0,0.363636363636364,0.2,0.181818181818182,0.1,0,0,0.230769230769231,0.307692307692308
0.153846153846154,0.0833333333333333,0.2,0.111111111111111,0.2,0.153846153846154,0.0769230769230769,0.333333333333333,0,0.133333333333333,0.0833333333333333,0.0833333333333333,0.214285714285714,0.181818181818182,0.0833333333333333,0.2,0
0.0833333333333333,0,0.0769230769230769,0.1,0.333333333333333,0.0833333333333333,0.166666666666667,0.2,0.222222222222222,0,0.142857142857143,0.2,0.0833333333333333,0.272727272727273,0.1,0.0909090909090909,0.2
0.0769230769230769,0.0769230769230769,0.0909090909090909,0.272727272727273,0.1,0.2,0,0.0909090909090909,0.2,0.0833333333333333,0.2,0.0909090909090909,0.133333333333333,0.153846153846154,0.0909090909090909,0,0.0909090909090909
0.0714285714285714,0,0.0909090909090909,0.0769230769230769,0.125,0,0.0833333333333333,0.166666666666667,0.166666666666667,0.272727272727273,0.133333333333333,0.2,0.2,0.272727272727273,0.181818181818182,0.181818181818182,0.166666666666667
0.285714285714286,0.0769230769230769,0.230769230769231,0.0909090909090909,0.181818181818182,0.0833333333333333,0.0769230769230769,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0.133333333333333,0.0833333333333333,0.0769230769230769,0.333333333333333,0,0.0769230769230769
0.0833333333333333,0.0666666666666667,0,0.1,0.25,0.166666666666667,0.0833333333333333,0.333333333333333,0.133333333333333,0,0.333333333333333,0,0.333333333333333,0,0.285714285714286,0.0909090909090909,0.111111111111111
0.0833333333333333,0.0833333333333333,0.0769230769230769,0.0909090909090909,0.2,0.166666666666667,0,0.272727272727273,0.0769230769230769,0.181818181818182,0.181818181818182,0.0833333333333333,0.0714285714285714,0,0.181818181818182,0.0833333333333333,0.0909090909090909
0.166666666666667,0.2,0.1,0.222222222222222,0.0909090909090909,0.2,0.3,0,0.0833333333333333,0,0.1,0,0.333333333333333,0.153846153846154,0.153846153846154,0.0833333333333333,0.5
0.272727272727273,0,0.153846153846154,0.153846153846154,0.111111111111111,0.2,0.0769230769230769,0.166666666666667,0.25,0.222222222222222,0.0833333333333333,0.363636363636364,0.2,0.0909090909090909,0.1,0.384615384615385,0.1
0.25,0.0833333333333333,0.142857142857143,0.0909090909090909,0.0769230769230769,0.230769230769231,0.0769230769230769,0,0.0833333333333333,0,0,0.181818181818182,0.1,0.153846153846154,0.153846153846154,0,0
0.25,0.0909090909090909,0.181818181818182,0.2,0.153846153846154,0.181818181818182,0.285714285714286,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.0769230769230769,0.3,0.333333333333333,0,0.1,0.230769230769231
0.363636363636364,0.222222222222222,0.0714285714285714,0.0833333333333333,0.181818181818182,0.166666666666667,0.0769230769230769,0.0769230769230769,0,0.222222222222222,0.2,0.0769230769230769,0,0.333333333333333,0.181818181818182,0,0.166666666666667
0.363636363636364,0.0833333333333333,0.0909090909090909,0,0.333333333333333,0,0.181818181818182,0.2,0,0.133333333333333,0.214285714285714,0.0769230769230769,0.0714285714285714,0.375,0,0.0833333333333333,0.272727272727273
0.0909090909090909,0.0666666666666667,0.111111111111111,0,0.222222222222222,0.181818181818182,0.0833333333333333,0,0.166666666666667,0.166666666666667,0.0714285714285714,0,0.153846153846154,0.153846153846154,0.333333333333333,0.230769230769231,0.222222222222222
0.3,0,0,0.111111111111111,0.133333333333333,0.0909090909090909,0.4,0.230769230769231,0.3,0.166666666666667,0.0909090909090909,0.272727272727273,0.166666666666667,0,0.181818181818182,0.1,0.181818181818182
0.0909090909090909,0,0.0714285714285714,0,0.166666666666667,0.142857142857143,0.0833333333333333,0.0909090909090909,0.0769230769230769,0.0714285714285714,0.214285714285714,0,0.166666666666667,0.1,0,0.333333333333333,0.133333333333333
0.3,0.272727272727273,0.222222222222222,0.111111111111111,0.2,0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.153846153846154,0.153846153846154,0.1,0.0833333333333333,0.2
0.0833333333333333,0.0833333333333333,0.2,0.0769230769230769,0.0909090909090909,0.142857142857143,0.125,0.1,0,0.133333333333333,0.153846153846154,0.25,0.0714285714285714,0.1,0,0,0.111111111111111
0.0909090909090909,0.0833333333333333,0.285714285714286,0.1,0.307692307692308,0.181818181818182,0.3,0,0,0.0714285714285714,0.153846153846154,0.272727272727273,0,0.153846153846154,0,0.181818181818182,0.0909090909090909
0.0909090909090909,0,0.0769230769230769,0.1,0.3,0.0833333333333333,0,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0.2,0,0.307692307692308,0.1,0.230769230769231,0.111111111111111
0.272727272727273,0.0833333333333333,0.125,0.153846153846154,0.133333333333333,0.0833333333333333,0.2,0.176470588235294,0.0833333333333333,0.0909090909090909,0.0833333333333333,0.142857142857143,0.2,0,0,0.2,0
0.0833333333333333,0.285714285714286,0.1,0.307692307692308,0.181818181818182,0.3,0,0,0.0714285714285714,0.153846153846154,0.272727272727273,0,0.153846153846154,0,0.181818181818182,0.0909090909090909,0.3
0.285714285714286,0.111111111111111,0.142857142857143,0.2,0,0,0.222222222222222,0.0714285714285714,0.0909090909090909,0.0666666666666667,0.4,0.2,0.0909090909090909,0.333333333333333,0,0,0
0.230769230769231,0.307692307692308,0.153846153846154,0.1,0.153846153846154,0,0.1,0,0.2,0.0909090909090909,0.1,0.333333333333333,0,0.230769230769231,0.384615384615385,0.25,0.3
0.111111111111111,0.0769230769230769,0.1,0.272727272727273,0,0,0.0833333333333333,0.0909090909090909,0,0.363636363636364,0.2,0,0.0769230769230769,0.1,0.142857142857143,0,0.166666666666667
0.0833333333333333,0.2,0,0.2,0.153846153846154,0.0769230769230769,0.333333333333333,0,0.133333333333333,0.0833333333333333,0.0833333333333333,0.214285714285714,0.181818181818182,0.0833333333333333,0.2,0,0.181818181818182
0,0,0,0.2,0.166666666666667,0.0769230769230769,0.0833333333333333,0.222222222222222,0.0909090909090909,0,0.1,0.0714285714285714,0,0.0909090909090909,0.0909090909090909,0.384615384615385,0.0909090909090909
0.0833333333333333,0.0909090909090909,0,0.333333333333333,0,0.25,0.2,0,0.133333333333333,0.214285714285714,0.0769230769230769,0.0714285714285714,0.375,0,0.0833333333333333,0.272727272727273,0.272727272727273
0.2,0.1,0.222222222222222,0.0909090909090909,0.2,0.3,0,0.0833333333333333,0,0.1,0,0.333333333333333,0.153846153846154,0.153846153846154,0.0833333333333333,0.1,0
0.0909090909090909,0.133333333333333,0.333333333333333,0,0.0909090909090909,0.222222222222222,0.0833333333333333,0,0.363636363636364,0.2,0.181818181818182,0.1,0,0,0.230769230769231,0,0.111111111111111
0.0714285714285714,0.25,0.0769230769230769,0.166666666666667,0,0.0833333333333333,0.25,0.181818181818182,0.0833333333333333,0.363636363636364,0,0.2,0.181818181818182,0.333333333333333,0.0909090909090909,0.0909090909090909,0
0,0.153846153846154,0.153846153846154,0.111111111111111,0.2,0.0769230769230769,0.166666666666667,0.25,0.222222222222222,0.0833333333333333,0.181818181818182,0.2,0.0909090909090909,0.1,0.384615384615385,0.1,0.0909090909090909
0,0.0769230769230769,0.1,0.333333333333333,0,0.166666666666667,0.2,0.222222222222222,0,0.142857142857143,0.2,0.0833333333333333,0.272727272727273,0.1,0.0909090909090909,0.0909090909090909,0.0833333333333333
0.2,0.1,0.0909090909090909,0.454545454545455,0.133333333333333,0,0.0909090909090909,0,0.4,0.1,0.0833333333333333,0.2,0.153846153846154,0.0909090909090909,0.333333333333333,0.25,0.0909090909090909
0.0909090909090909,0.181818181818182,0.2,0.153846153846154,0.181818181818182,0.285714285714286,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.0769230769230769,0.3,0.333333333333333,0,0.1,0.230769230769231,0.153846153846154
0.125,0.0714285714285714,0.25,0.25,0.181818181818182,0.153846153846154,0,0.3,0.181818181818182,0.363636363636364,0,0.3,0.375,0.0909090909090909,0,0,0
0.0769230769230769,0.0909090909090909,0.272727272727273,0.1,0.2,0,0.0909090909090909,0.2,0.0833333333333333,0.2,0.0909090909090909,0.133333333333333,0.153846153846154,0.0909090909090909,0,0.0909090909090909,0.166666666666667
0,0.0909090909090909,0.0769230769230769,0.125,0,0.0833333333333333,0.166666666666667,0.166666666666667,0.272727272727273,0.133333333333333,0.2,0.2,0.272727272727273,0.181818181818182,0.181818181818182,0.0769230769230769,0.0769230769230769
0.25,0.0714285714285714,0.0833333333333333,0.181818181818182,0.166666666666667,0.0769230769230769,0.0769230769230769,0,0.222222222222222,0.2,0.0769230769230769,0,0.333333333333333,0.181818181818182,0,0.272727272727273,0.0769230769230769
0.166666666666667,0.285714285714286,0.25,0.214285714285714,0.1,0.4,0,0.2,0.181818181818182,0.333333333333333,0.2,0.133333333333333,0.0909090909090909,0.285714285714286,0,0.0909090909090909,0.166666666666667
0,0.0714285714285714,0.133333333333333,0.214285714285714,0.166666666666667,0.0769230769230769,0.454545454545455,0.166666666666667,0,0.363636363636364,0.2,0,0,0.333333333333333,0,0.181818181818182,0.0714285714285714
0.0666666666666667,0,0.1,0.25,0.166666666666667,0.0833333333333333,0.333333333333333,0.133333333333333,0,0.333333333333333,0,0.333333333333333,0,0.285714285714286,0.0909090909090909,0.0909090909090909,0.181818181818182
0.0833333333333333,0.125,0.153846153846154,0.133333333333333,0.0833333333333333,0.2,0.176470588235294,0.0833333333333333,0.0909090909090909,0.0833333333333333,0.142857142857143,0.2,0,0,0.2,0,0.333333333333333
0,0,0,0.166666666666667,0,0.166666666666667,0.176470588235294,0.2,0.181818181818182,0.0833333333333333,0.1,0.214285714285714,0.153846153846154,0.333333333333333,0,0.384615384615385,0.1875
0.272727272727273,0.222222222222222,0.111111111111111,0.2,0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.153846153846154,0.153846153846154,0.1,0.0833333333333333,0.2,0.133333333333333
0.0769230769230769,0.230769230769231,0.0909090909090909,0.181818181818182,0.0833333333333333,0.0769230769230769,0.166666666666667,0.166666666666667,0.166666666666667,0.25,0.133333333333333,0.0833333333333333,0.307692307692308,0.333333333333333,0,0.0769230769230769,0.142857142857143
0.0769230769230769,0.333333333333333,0.2,0.0833333333333333,0.1,0.285714285714286,0.153846153846154,0.133333333333333,0,0.0909090909090909,0.0666666666666667,0.333333333333333,0.0909090909090909,0.0833333333333333,0.230769230769231,0.181818181818182,0.285714285714286
0.0833333333333333,0.0769230769230769,0.0909090909090909,0.2,0.166666666666667,0,0.272727272727273,0.0769230769230769,0.181818181818182,0.181818181818182,0.0833333333333333,0.0714285714285714,0,0.181818181818182,0.0833333333333333,0.0909090909090909,0
0,0.0714285714285714,0,0.166666666666667,0.142857142857143,0.0833333333333333,0.0909090909090909,0.0769230769230769,0.0714285714285714,0.214285714285714,0.166666666666667,0.166666666666667,0.1,0,0.333333333333333,0.2,0
0,0,0.111111111111111,0.133333333333333,0.0909090909090909,0.4,0.230769230769231,0.3,0.166666666666667,0.0909090909090909,0.272727272727273,0.166666666666667,0,0.181818181818182,0.0909090909090909,0.181818181818182,0.333333333333333
0,0.1,0.25,0.166666666666667,0.0833333333333333,0.333333333333333,0.133333333333333,0,0.333333333333333,0,0.333333333333333,0,0.285714285714286,0.0909090909090909,0.0909090909090909,0.333333333333333,0
0.222222222222222,0.111111111111111,0.2,0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.153846153846154,0.153846153846154,0.1,0.0833333333333333,0.2,0.133333333333333,0.0833333333333333
0.0714285714285714,0.0833333333333333,0.181818181818182,0.166666666666667,0.0769230769230769,0.0769230769230769,0,0.222222222222222,0.2,0.0769230769230769,0,0.333333333333333,0.181818181818182,0,0.272727272727273,0.0769230769230769,0.214285714285714
0.25,0.0769230769230769,0.166666666666667,0,0.0833333333333333,0.25,0.181818181818182,0.0833333333333333,0.363636363636364,0,0.2,0.181818181818182,0.333333333333333,0.0909090909090909,0.0909090909090909,0,0.0769230769230769
0.0769230769230769,0.0909090909090909,0.2,0.166666666666667,0,0.272727272727273,0.0769230769230769,0.181818181818182,0.181818181818182,0.0833333333333333,0.0714285714285714,0,0.181818181818182,0.0833333333333333,0.0909090909090909,0,0.0769230769230769
0.2,0,0.2,0.153846153846154,0.0769230769230769,0.333333333333333,0,0.133333333333333,0.0833333333333333,0.0833333333333333,0.214285714285714,0.181818181818182,0.0833333333333333,0.2,0,0.0909090909090909,0.214285714285714
0.0909090909090909,0.272727272727273,0.1,0.2,0,0.0909090909090909,0.2,0.0833333333333333,0.2,0.0909090909090909,0.133333333333333,0.153846153846154,0.0909090909090909,0,0.0909090909090909,0.166666666666667,0.0714285714285714
0.0714285714285714,0.133333333333333,0.214285714285714,0.166666666666667,0.0769230769230769,0.454545454545455,0.166666666666667,0,0.363636363636364,0.2,0,0,0.333333333333333,0,0.181818181818182,0.0714285714285714,0
0.111111111111111,0.142857142857143,0.2,0,0,0.222222222222222,0.0714285714285714,0.0909090909090909,0.0666666666666667,0.4,0.2,0.0909090909090909,0.333333333333333,0,0,0,0.111111111111111
0,0,0.363636363636364,0.166666666666667,0.0769230769230769,0.0833333333333333,0.222222222222222,0.0909090909090909,0,0.1,0.0714285714285714,0,0.0909090909090909,0.0909090909090909,0.384615384615385,0.0909090909090909,0.444444444444444
0.0909090909090909,0.0769230769230769,0.125,0,0.0833333333333333,0.166666666666667,0.166666666666667,0.272727272727273,0.133333333333333,0.2,0.2,0.272727272727273,0.181818181818182,0.181818181818182,0.0769230769230769,0.0769230769230769,0.2
0.153846153846154,0.153846153846154,0.111111111111111,0.2,0.0769230769230769,0.166666666666667,0.25,0.222222222222222,0.0833333333333333,0.181818181818182,0.2,0.0909090909090909,0.1,0.384615384615385,0.1,0.0833333333333333,0.0909090909090909
0.285714285714286,0.1,0.307692307692308,0.181818181818182,0.3,0,0,0.0714285714285714,0.153846153846154,0.272727272727273,0,0.153846153846154,0,0.181818181818182,0.0909090909090909,0,0.142857142857143
0.0769230769230769,0.1,0.333333333333333,0.0833333333333333,0.166666666666667,0.2,0.222222222222222,0,0.142857142857143,0.2,0.0833333333333333,0.272727272727273,0.1,0.0909090909090909,0.0909090909090909,0.0833333333333333,0.0769230769230769
0.0833333333333333,0.2,0.0769230769230769,0.0909090909090909,0.142857142857143,0.125,0.1,0.2,0.133333333333333,0.153846153846154,0.25,0.0714285714285714,0.1,0,0,0.0909090909090909,0.133333333333333
0.1,0.0909090909090909,0.454545454545455,0.133333333333333,0,0.0909090909090909,0,0.4,0.1,0.0833333333333333,0.2,0.153846153846154,0.0909090909090909,0.333333333333333,0.25,0.153846153846154,0.111111111111111
0.0769230769230769,0.1,0.272727272727273,0,0,0.0833333333333333,0.0909090909090909,0,0.363636363636364,0.2,0,0.0769230769230769,0.1,0.142857142857143,0,0.166666666666667,0.2
0.0833333333333333,0.142857142857143,0.0909090909090909,0.0769230769230769,0.230769230769231,0.0769230769230769,0,0.0833333333333333,0,0,0.181818181818182,0.1,0.153846153846154,0.153846153846154,0,0.230769230769231,0.181818181818182
